"","P","Y","A","G"
"1083",3,3,1,0
"1084",1,3,1,2
"1085",4,3,1,-1
"1086",4,3,1,-1
"1087",2,2,1,0
"1088",4,4,1,0
"1089",3,2,1,-1
"1090",3,3,2,0
"1091",3,4,2,1
"1092",3,5,2,2
"1093",2,4,2,2
"1094",4,4,2,0
"1095",5,5,2,0
"1096",4,5,2,1
"1097",5,5,2,0
"1098",4,5,2,1
"1099",2,1,1,-1
"1100",3,3,2,0
"1101",3,4,2,1
"1102",2,4,2,2
"1103",2,3,1,1
"1104",3,5,2,2
"1105",2,4,2,2
"1106",2,4,1,2
"1107",3,4,2,1
"1108",2,3,1,1
"1109",3,4,1,1
"1110",1,4,1,3
"1111",2,4,1,2
"1112",2,3,1,1
"1113",3,3,2,0
"1114",3,4,2,1
"1115",3,3,2,0
"1116",4,5,2,1
"1117",5,5,1,0
"1118",4,5,2,1
"1119",2,3,1,1
"1120",2,5,2,3
"1121",4,5,2,1
"1122",4,4,1,0
"1123",2,3,2,1
"1124",2,4,1,2
"1125",2,5,1,3
"1126",4,3,1,-1
"1127",2,1,1,-1
"1128",3,5,2,2
"1129",4,5,2,1
"1130",3,5,1,2
"1131",3,5,2,2
"1132",3,4,2,1
"1133",5,5,1,0
"1134",3,2,1,-1
"1135",2,4,1,2
"1136",2,4,1,2
"1137",3,5,2,2
"1138",5,4,2,-1
"1139",2,3,2,1
"1140",2,2,1,0
"1141",3,4,1,1
"1142",3,5,1,2
"1143",4,5,1,1
"1144",3,5,1,2
"1145",3,2,1,-1
"1146",5,5,1,0
"1147",5,4,1,-1
"1148",4,4,1,0
"1149",4,4,1,0
"1150",4,5,1,1
"1151",5,5,1,0
"1152",2,5,1,3
"1153",5,5,1,0
"1154",5,5,2,0
"1155",4,5,2,1
"1156",3,3,2,0
"1157",5,5,2,0
"1158",4,4,2,0
"1159",5,5,2,0
"1160",4,5,2,1
"1161",5,4,1,-1
"1162",3,4,1,1
"1163",5,5,1,0
"1164",3,4,1,1
"1165",5,4,1,-1
"1166",4,5,1,1
"1167",2,3,1,1
"1168",5,5,1,0
"1169",2,3,1,1
"1170",5,4,1,-1
"1171",5,3,2,-2
"1172",4,5,2,1
"1173",3,5,2,2
"1174",4,5,2,1
"1175",5,5,2,0
"1176",4,5,2,1
"1177",5,5,2,0
"1178",5,5,1,0
"1179",2,4,1,2
"1180",3,5,1,2
"1181",5,4,1,-1
"1182",2,5,1,3
"1183",4,3,1,-1
"1184",3,4,1,1
"1185",4,5,1,1
"1186",2,3,1,1
"1187",5,4,2,-1
"1188",5,5,2,0
"1189",5,5,2,0
"1190",3,5,2,2
"1191",5,5,2,0
"1192",5,5,2,0
"1193",4,5,2,1
"1194",5,5,2,0
"1195",5,5,2,0
"1196",5,4,2,-1
"1197",2,4,1,2
"1198",4,5,1,1
"1199",3,3,1,0
"1200",4,4,1,0
"1201",2,2,1,0
"1202",3,2,2,-1
"1203",4,5,1,1
"1204",2,4,1,2
"1205",5,5,2,0
"1206",2,3,1,1
"1207",4,5,2,1
"1208",2,3,2,1
"1209",2,5,1,3
"1210",2,2,1,0
"1211",4,5,2,1
"1212",3,4,2,1
"1213",3,4,2,1
"1214",1,4,1,3
"1215",4,5,2,1
"1216",4,4,2,0
"1217",5,5,2,0
"1218",2,1,2,-1
"1219",3,3,1,0
"1220",3,4,2,1
"1221",4,4,1,0
"1222",3,3,2,0
"1223",3,4,1,1
"1224",3,5,1,2
"1225",5,5,2,0
"1226",2,2,1,0
"1227",4,5,1,1
"1228",4,5,1,1
"1229",4,4,2,0
"1230",2,5,1,3
"1231",2,3,1,1
"1232",3,4,2,1
"1233",5,5,1,0
"1234",4,4,2,0
"1235",4,5,1,1
"1236",2,4,2,2
"1237",3,4,2,1
"1238",4,5,2,1
"1239",3,5,1,2
"1240",3,4,1,1
